Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Composer,Artist,Licensed,official_video,Album_type
0.000273359449,3.0,-25.176,0.0443,0.7241507920000001,6.19e-05,0.000806954491,0.34,83.398,117907.0,73671221.26614831,137622.0,19981370.0,6.0,34.0,0.0,0.0,2.0
0.1842200089999999,7.0,-12.390073018845506,0.05580932904146993,0.672221376,0.91,0.034965783,0.746,148.692,173427.0,184825.0,5190.0,77985501.68984805,10.0,32.0,0.0,0.0,1.8708885284316983
0.0543369433919526,6.0,-15.596,0.054588359740869036,0.667627624,0.867,0.0017715609999999,0.38,84.899,150667.0,184825.0,5190.0,19320810.0,10.0,13.0,0.0,0.0,1.8585747235903185
0.2095845839999999,5.008207978773909,-6.251,0.0277,0.003796416,0.0011080133539135284,0.001,0.5194292234220698,150.22,265000.0,202457327.0,997035.0,399661898.0,5.0,86.0,1.0,0.0,2.0
0.3288897839247633,5.0,-6.219845635546899,0.026,3.0486250000000004e-06,0.000467,0.0029242069999999,0.295,97.997,263867.0,316688049.0,1299086.0,215851798.07689518,8.0,74.0,1.0,1.0,2.0
0.442450728,7.0,-6.220008469770937,0.0326,1.7575999999999996e-05,0.0,0.000944076141,0.842,103.032,260560.0,249074.0,922.0,201457474.0,3.0,41.0,0.0,0.0,2.0
0.2258665289999999,10.0,-8.964359182407271,0.0323,0.291434247,1.13e-05,0.010793861,0.45146817782657983,166.668,258027.0,76758188.0,252380.0,136332369.0,10.0,88.0,1.0,1.0,2.0
0.4949136710000001,10.0,-6.63,0.0414,4.9836032e-05,0.0,0.000334255384,0.879,116.043,225254.62761944448,105107732.0,740856.0,140211873.0,3.0,56.0,1.0,1.0,2.0
0.8986321249999999,10.0,-5.022,0.08828276131408419,4.826808999999999e-12,0.11965346890500982,0.000622835864,0.347,125.152,262000.0,22878351.0,93766.0,128201040.0,10.0,28.0,0.0,1.0,2.0
0.35257540452689357,5.070139870621485,-7.09355630865552,0.0261,0.0789535889999999,0.03812478663448812,0.0052680239999999,0.677,106.191,170493.0,44458549.0,276258.0,105775598.0,5.0,46.70771384698694,1.0,1.0,2.0
